product,n_prods,n_threads,n_workers,run_time,n_paths,strategy,now_time
VANILLASWAP,128,6,1,8.058891565,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,256,6,1,15.025045801,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,512,6,1,30.791350924,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,1024,6,1,59.95555339,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,128,12,1,6.357477852,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,256,12,1,12.26377969,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,512,12,1,23.362986455,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,1024,12,1,48.288586558,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,128,24,1,6.22055361,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,256,24,1,11.618506838,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,512,24,1,22.105920029,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,1024,24,1,40.149366095,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,128,48,1,6.573264701,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,256,48,1,12.560678718,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,512,48,1,14.398264067,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,1024,48,1,27.227180974,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,128,96,1,9.175656013,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,256,96,1,22.407275656,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,512,96,1,13.673493552,8192,MT,2024-12-10T06:02:53.519
VANILLASWAP,1024,96,1,25.843329476,8192,MT,2024-12-10T06:02:53.519
