product,n_prods,n_threads,n_workers,run_time,n_paths,strategy,now_time
VANILLASWAP,128,6,1,8.415455023,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,256,6,1,16.102780815,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,512,6,1,34.783510733,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,1024,6,1,64.639655153,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,128,6,2,4.902269789,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,256,6,2,7.73356401,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,512,6,2,15.149231923,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,1024,6,2,29.961443529,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,128,6,4,3.662669985,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,256,6,4,4.791196762,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,512,6,4,8.443454312,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,1024,6,4,16.454967016,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,128,6,8,3.253632295,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,256,6,8,3.273620258,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,512,6,8,5.874202821,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,1024,6,8,11.071889953,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,128,6,16,2.959555135,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,256,6,16,3.20594896,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,512,6,16,5.479618503,8192,MIXED,2024-12-10T06:20:03.481
VANILLASWAP,1024,6,16,10.602658517,8192,MIXED,2024-12-10T06:20:03.481
